Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.37910417,0.094195746,0.16634515,0.004708278,2650.7960734883195,1143301.9960817788,2672.132236056428,150417.08047960134,5762.794879415761,3074374.4438539157,0.1126108657910628,0.008983374342829035,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.38833782,0.09202846,0.17278266,0.004719714,2618.5841076376923,1112701.451144885,2621.88820370063,121473.00017054898,5640.773395040761,2753472.6995296874,0.11880142285628019,0.00900891841224379,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.40621746,0.09154374,0.1562878,0.0055440404,2357.0189263048524,885127.2426803552,2462.903333892875,206789.94696451857,5076.312202785326,3137820.704790234,0.0966862922705314,0.0036928093515451454,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.3728897,0.098681524,0.15350728,0.0066856397,2054.8383659927154,1433616.9849484237,2207.3745707761127,450941.6974415383,4252.422724184783,5304637.728725623,0.08378670365338164,0.008948236588889366,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.3691328,0.09577385,0.17121404,0.0045668543,2616.942794987238,1101868.4275605828,2644.3643820629954,147870.516898292,5659.757982336957,3055206.087997325,0.10828238224637682,0.008514166461197025,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.38472992,0.09202529,0.17295659,0.0047761453,2620.071852332817,1099498.8473926932,2621.834601655652,120309.08683493035,5643.290803328804,2719603.652496915,0.11784892059178743,0.008818010170264056,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.4140662,0.087930605,0.15812537,0.0051869145,2407.175968859888,666022.5879012969,2397.7472513181497,182986.643349975,5098.469556725543,2269777.1960897576,0.10643917949879227,0.0037978713262979474,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.37215248,0.09377882,0.12508245,0.007496092,2162.981943428179,743170.7796773791,2194.540335414998,357732.90414492873,4527.506793478261,3386316.718387063,0.0923148777173913,0.0022826934586901346,99.38401442307692,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.3372982,0.085441306,0.11184584,0.0014525652,2795.5322983157075,1034042.588568868,2735.988132662219,231803.39850785755,6015.560176454741,3617903.2626861483,0.12489777362992611,0.00804813284265202,172.265625,unknown
002 - Madrigal - Seni Dert Etmeler.mp3,18.853968253968254,0.29106918,0.08534282,0.100572616,0.0010634094,1890.0247240485382,710097.1153341817,1950.6615817934376,422921.17926754226,3800.053458378233,3648123.705139589,0.08744263296644089,0.0020232962480539398,172.265625,unknown
